review,rating,date,bank,source,clean_review,themes
20 years,5,2025-06-08,CBE,Google Play,year,Other
A great app. It's like carrying a bank in your pocket.,4,2025-06-07,CBE,Google Play,great app like carrying bank pocket,Other
More than garrantty bank EBC.,4,2025-06-07,CBE,Google Play,garrantty bank ebc,Other
really am happy to this app it is Siple to use everything,5,2025-06-07,CBE,Google Play,really happy app siple use everything,Other
I liked this app. But the User interface is very basic and not attractive at all.,2,2025-06-07,CBE,Google Play,liked app user interface basic attractive,UI/UX
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,CBE,Google Play,dont atm support accounttoaccount transfer like country kenya nigeria south africa,Transactions
what is this app problem???,1,2025-06-05,CBE,Google Play,app problem,Other
the app is proactive and a good connections.,5,2025-06-05,CBE,Google Play,app proactive good connection,Other
I cannot send to cbebirr app. through this app.,3,2025-06-05,CBE,Google Play,cannot send cbebirr app app,Other
good,4,2025-06-05,CBE,Google Play,good,Other
not functional,1,2025-06-05,CBE,Google Play,functional,Other
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,CBE,Google Play,everytime uninstall app reach physically oldy thats one security layer theyd check fraud attempt via app source directlysource app store play store etc implicitly 2025 physical presence every app install traditionaltraditionally rare,Other
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,CBE,Google Play,አካውንት የምናስገባበት ጽፈን ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር አዲስ አካውንቶች ብለዉ የሚጀምሩ በዝተዋል አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,Other
best,5,2025-06-04,CBE,Google Play,best,Other
bezabih,5,2025-06-04,CBE,Google Play,bezabih,Other
Best Mobile Banking app ever,5,2025-06-04,CBE,Google Play,best mobile banking app ever,Other
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,CBE,Google Play,good app issue like doesnt give right amount bank issue transferring,Other
Good,5,2025-06-04,CBE,Google Play,good,Other
👌👍,5,2025-06-04,CBE,Google Play,,Other
very niec,5,2025-06-04,CBE,Google Play,niec,Other
best app of finance,5,2025-06-04,CBE,Google Play,best app finance,Other
yetemeta,1,2025-06-03,CBE,Google Play,yetemeta,Other
Engida Kebede Fetera,5,2025-06-03,CBE,Google Play,engida kebede fetera,Other
it is not safety,1,2025-06-03,CBE,Google Play,safety,Other
NICE bank,5,2025-06-03,CBE,Google Play,nice bank,Other
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,CBE,Google Play,like childish app make better worst ever seen,Other
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,CBE,Google Play,problem solver application ahead cbe love much,Other
It's good but try to make it facilitate for your client,4,2025-06-02,CBE,Google Play,good try make facilitate client,Other
best app,5,2025-06-01,CBE,Google Play,best app,Other
Awesome bank,5,2025-06-01,CBE,Google Play,awesome bank,Other
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,CBE,Google Play,app developed good way comment need make preventing screenshot likely good someone like coz need make screenshot quicker evidence 2it would good make access recent transaction history day coz dont bank person see old transaction add colander category user easily access old transaction colander,Transactions
Masha alla,5,2025-05-31,CBE,Google Play,masha alla,Other
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,CBE,Google Play,recently big problem sending safaricom telebir even cbebirr wallet could anybody responsible fix frustrating day money hasnt returned take account doesnt send mpesa update corrected sent back money still afraid send,Account Access
better service,5,2025-05-31,CBE,Google Play,better service,Other
"it,s good app and time manager 👍",5,2025-05-30,CBE,Google Play,good app time manager,Other
malkaamuu Jiidhaa Namoo,5,2025-05-30,CBE,Google Play,malkaamuu jiidhaa namoo,Other
lower system everything,3,2025-05-30,CBE,Google Play,lower system everything,Other
Nice!,5,2025-05-30,CBE,Google Play,nice,Other
Keep it up My CBE,5,2025-05-29,CBE,Google Play,keep cbe,Other
yes good,5,2025-05-28,CBE,Google Play,yes good,Other
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,CBE,Google Play,using app last two year problem stopped working month ago tried transfer fund give error cant transaction inactive account,"Account Access, Transactions, App Issues"
i like everything of this app,5,2025-05-27,CBE,Google Play,like everything app,Other
🤬🤬🤬🤬 network 🛜,1,2025-05-26,CBE,Google Play,network,Other
Best,5,2025-05-26,CBE,Google Play,best,Other
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,CBE,Google Play,cbe best financial application dimple use would like say thank much developer application really appreciate app,Other
nice,5,2025-05-26,CBE,Google Play,nice,Other
good job,5,2025-05-26,CBE,Google Play,good job,Other
it's awesome!!,5,2025-05-25,CBE,Google Play,awesome,Other
thankyou every one,5,2025-05-25,CBE,Google Play,thankyou every one,Other
Ronaldo 🇵🇹 🥇,5,2025-05-25,CBE,Google Play,ronaldo,Other
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,CBE,Google Play,app absolutely fantastic love enjoying let support foundation together,Other
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,CBE,Google Play,cbe app highly unreliable recent week frequently fails work properly ethio telecom safaricom network whether using wifi mobile data week system entirely extended period making difficult access banking service app function intermittently lack consistency frustrating hope issue addressed soon nontechnical influence removed essential service,Other
mortuary app,5,2025-05-25,CBE,Google Play,mortuary app,Other
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,CBE,Google Play,smart app stoped period time device reason,Other
amazing app I am used this app for one year,4,2025-05-24,CBE,Google Play,amazing app used app one year,Other
👍,5,2025-05-24,CBE,Google Play,,Other
good app,5,2025-05-24,CBE,Google Play,good app,Other
i love it 😍😘,5,2025-05-24,CBE,Google Play,love,Other
It makes life easy!👌,5,2025-05-24,CBE,Google Play,make life easy,Other
its not fast,1,2025-05-24,CBE,Google Play,fast,Other
wow,4,2025-05-24,CBE,Google Play,wow,Other
