bank,rating,textblob_polarity_mean,textblob_polarity_count,distilbert_score_mean,textblob_sentiment_<lambda>,distilbert_sentiment_<lambda>
BOA,1,-0.09242620762296688,162,0.9662301750094803,"{'negative': 62, 'neutral': 55, 'positive': 45}","{'negative': 135, 'positive': 27}"
BOA,2,0.07833333333333334,10,0.9368167638778686,"{'neutral': 6, 'positive': 3, 'negative': 1}","{'negative': 9, 'positive': 1}"
BOA,3,0.07976107226107226,26,0.970595135138585,"{'neutral': 12, 'positive': 11, 'negative': 3}","{'positive': 13, 'negative': 13}"
BOA,4,0.1945970695970696,13,0.9479289054870605,"{'neutral': 7, 'positive': 6}","{'positive': 7, 'negative': 6}"
BOA,5,0.301559934318555,116,0.9391387747279529,"{'positive': 58, 'neutral': 55, 'negative': 3}","{'positive': 84, 'negative': 32}"
CBE,1,-0.036425983436853,46,0.9671089947223663,"{'neutral': 21, 'positive': 13, 'negative': 12}","{'negative': 30, 'positive': 16}"
CBE,2,0.08780328798185941,14,0.9752567878791264,"{'positive': 7, 'negative': 4, 'neutral': 3}","{'negative': 11, 'positive': 3}"
CBE,3,0.10733305274971941,18,0.9364445673094856,"{'neutral': 11, 'positive': 6, 'negative': 1}","{'negative': 12, 'positive': 6}"
CBE,4,0.36244369369369367,37,0.9279884937647227,"{'positive': 26, 'neutral': 10, 'negative': 1}","{'positive': 24, 'negative': 13}"
CBE,5,0.3971718164072533,206,0.9663030528327794,"{'positive': 133, 'neutral': 70, 'negative': 3}","{'positive': 169, 'negative': 37}"
Dashen,1,0.09254509379509379,33,0.9816858515594945,"{'positive': 12, 'negative': 11, 'neutral': 10}","{'negative': 23, 'positive': 10}"
Dashen,2,0.005308123249299715,17,0.944833541617674,"{'negative': 7, 'positive': 5, 'neutral': 5}","{'negative': 14, 'positive': 3}"
Dashen,3,0.25627777777777777,12,0.9487589548031489,"{'positive': 9, 'negative': 2, 'neutral': 1}","{'negative': 7, 'positive': 5}"
Dashen,4,0.23690518631695104,17,0.937687477644752,"{'positive': 10, 'neutral': 7}","{'negative': 11, 'positive': 6}"
Dashen,5,0.3779382598374357,260,0.9601131510276061,"{'positive': 212, 'neutral': 44, 'negative': 4}","{'positive': 215, 'negative': 45}"
