review,rating,date,bank,source,clean_review,textblob_polarity,textblob_subjectivity,textblob_sentiment,distilbert_score,distilbert_sentiment
20 years,5,2025-06-08,CBE,Google Play,year,0.0,0.0,neutral,0.9952841401100159,positive
A great app. It's like carrying a bank in your pocket.,4,2025-06-07,CBE,Google Play,great app like carrying bank pocket,0.8,0.75,positive,0.9976674914360046,positive
More than garrantty bank EBC.,4,2025-06-07,CBE,Google Play,garrantty bank ebc,0.0,0.0,neutral,0.9680941104888916,negative
really am happy to this app it is Siple to use everything,5,2025-06-07,CBE,Google Play,really happy app siple use everything,0.8,1.0,positive,0.9997885823249817,positive
I liked this app. But the User interface is very basic and not attractive at all.,2,2025-06-07,CBE,Google Play,liked app user interface basic attractive,0.4666666666666666,0.6416666666666667,positive,0.9996671676635742,positive
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,CBE,Google Play,dont atm support accounttoaccount transfer like country kenya nigeria south africa,0.0,0.0,neutral,0.9854568839073181,negative
what is this app problem???,1,2025-06-05,CBE,Google Play,app problem,0.0,0.0,neutral,0.9991914629936218,negative
the app is proactive and a good connections.,5,2025-06-05,CBE,Google Play,app proactive good connection,0.7,0.6000000000000001,positive,0.9998316764831543,positive
I cannot send to cbebirr app. through this app.,3,2025-06-05,CBE,Google Play,cannot send cbebirr app app,0.0,0.0,neutral,0.9974467754364014,negative
good,4,2025-06-05,CBE,Google Play,good,0.7,0.6000000000000001,positive,0.9998161196708679,positive
not functional,1,2025-06-05,CBE,Google Play,functional,0.0,0.0,neutral,0.9993332028388977,positive
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,CBE,Google Play,everytime uninstall app reach physically oldy thats one security layer theyd check fraud attempt via app source directlysource app store play store etc implicitly 2025 physical presence every app install traditionaltraditionally rare,0.09999999999999999,0.3952380952380952,positive,0.9957544803619385,negative
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,CBE,Google Play,አካውንት የምናስገባበት ጽፈን ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር አዲስ አካውንቶች ብለዉ የሚጀምሩ በዝተዋል አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,0.0,0.0,neutral,0.9489452838897705,negative
best,5,2025-06-04,CBE,Google Play,best,1.0,0.3,positive,0.9997941851615906,positive
bezabih,5,2025-06-04,CBE,Google Play,bezabih,0.0,0.0,neutral,0.9654072523117065,positive
Best Mobile Banking app ever,5,2025-06-04,CBE,Google Play,best mobile banking app ever,1.0,0.3,positive,0.9997294545173645,positive
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,CBE,Google Play,good app issue like doesnt give right amount bank issue transferring,0.4928571428571428,0.5678571428571428,positive,0.967829167842865,positive
Good,5,2025-06-04,CBE,Google Play,good,0.7,0.6000000000000001,positive,0.9998161196708679,positive
👌👍,5,2025-06-04,CBE,Google Play,,0.0,0.0,neutral,0.9541465044021606,positive
very niec,5,2025-06-04,CBE,Google Play,niec,0.0,0.0,neutral,0.5998042821884155,positive
best app of finance,5,2025-06-04,CBE,Google Play,best app finance,1.0,0.3,positive,0.9994705319404602,positive
yetemeta,1,2025-06-03,CBE,Google Play,yetemeta,0.0,0.0,neutral,0.6553664803504944,positive
Engida Kebede Fetera,5,2025-06-03,CBE,Google Play,engida kebede fetera,0.0,0.0,neutral,0.8396738767623901,negative
it is not safety,1,2025-06-03,CBE,Google Play,safety,0.0,0.0,neutral,0.9971936345100403,positive
NICE bank,5,2025-06-03,CBE,Google Play,nice bank,0.6,1.0,positive,0.9998055100440979,positive
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,CBE,Google Play,like childish app make better worst ever seen,-0.2333333333333333,0.7666666666666666,negative,0.9997608065605164,negative
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,CBE,Google Play,problem solver application ahead cbe love much,0.35,0.4,positive,0.9984707236289978,positive
It's good but try to make it facilitate for your client,4,2025-06-02,CBE,Google Play,good try make facilitate client,0.7,0.6000000000000001,positive,0.9987378716468811,positive
best app,5,2025-06-01,CBE,Google Play,best app,1.0,0.3,positive,0.999686598777771,positive
Awesome bank,5,2025-06-01,CBE,Google Play,awesome bank,1.0,1.0,positive,0.9998461008071899,positive
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,CBE,Google Play,app developed good way comment need make preventing screenshot likely good someone like coz need make screenshot quicker evidence 2it would good make access recent transaction history day coz dont bank person see old transaction add colander category user easily access old transaction colander,0.3148148148148148,0.5092592592592593,positive,0.9942674040794373,negative
Masha alla,5,2025-05-31,CBE,Google Play,masha alla,0.0,0.0,neutral,0.9514626860618591,negative
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,CBE,Google Play,recently big problem sending safaricom telebir even cbebirr wallet could anybody responsible fix frustrating day money hasnt returned take account doesnt send mpesa update corrected sent back money still afraid send,-0.16,0.49000000000000005,negative,0.9982869029045105,negative
better service,5,2025-05-31,CBE,Google Play,better service,0.5,0.5,positive,0.9982219338417053,positive
"it,s good app and time manager 👍",5,2025-05-30,CBE,Google Play,good app time manager,0.7,0.6000000000000001,positive,0.9998489618301392,positive
malkaamuu Jiidhaa Namoo,5,2025-05-30,CBE,Google Play,malkaamuu jiidhaa namoo,0.0,0.0,neutral,0.9887813329696655,negative
lower system everything,3,2025-05-30,CBE,Google Play,lower system everything,0.0,0.0,neutral,0.9993475079536438,negative
Nice!,5,2025-05-30,CBE,Google Play,nice,0.6,1.0,positive,0.9998552799224854,positive
Keep it up My CBE,5,2025-05-29,CBE,Google Play,keep cbe,0.0,0.0,neutral,0.992401123046875,positive
yes good,5,2025-05-28,CBE,Google Play,yes good,0.7,0.6000000000000001,positive,0.9998410940170288,positive
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,CBE,Google Play,using app last two year problem stopped working month ago tried transfer fund give error cant transaction inactive account,0.0,0.06666666666666667,neutral,0.9961460828781128,negative
i like everything of this app,5,2025-05-27,CBE,Google Play,like everything app,0.0,0.0,neutral,0.9987452030181885,positive
🤬🤬🤬🤬 network 🛜,1,2025-05-26,CBE,Google Play,network,0.0,0.0,neutral,0.9776424169540405,positive
Best,5,2025-05-26,CBE,Google Play,best,1.0,0.3,positive,0.9997941851615906,positive
